Indexcd,Trddt,Clsindex,Retindex
300,2007/8/10,4726.683,-0.010592
300,2007/8/13,4721.192,-0.001162
300,2007/8/14,4795.568,0.015754
300,2007/8/15,4798.75,0.000664
300,2007/8/16,4721.942,-0.016006
300,2007/8/17,4626.583,-0.020195
300,2007/8/20,4885.427,0.055947
300,2007/8/21,4972.711,0.017866
300,2007/8/22,5051.688,0.015882
300,2007/8/23,5135.93,0.016676
300,2007/8/24,5217.581,0.015898
300,2007/8/27,5243.147,0.0049
300,2007/8/28,5251.77,0.001645
300,2007/8/29,5171.822,-0.015223
300,2007/8/30,5241.228,0.01342
300,2007/8/31,5296.813,0.010605
300,2007/9/3,5419.169,0.0231
300,2007/9/4,5360.333,-0.010857
300,2007/9/5,5363.251,0.000544
300,2007/9/6,5412.037,0.009096
300,2007/9/7,5294.795,-0.021663
300,2007/9/10,5377.222,0.015568
300,2007/9/11,5124.092,-0.047074
300,2007/9/12,5202.856,0.015371
300,2007/9/13,5349.97,0.028276
300,2007/9/14,5397.278,0.008843
300,2007/9/17,5498.908,0.01883
300,2007/9/18,5476.839,-0.004013
300,2007/9/19,5419.268,-0.010512
300,2007/9/20,5494.915,0.013959
300,2007/9/21,5468.098,-0.00488
300,2007/9/24,5513.895,0.008375
300,2007/9/25,5454.615,-0.010751
300,2007/9/26,5361.021,-0.017159
300,2007/9/27,5427.657,0.01243
300,2007/9/28,5580.813,0.028218
300,2007/10/8,5653.136,0.012959
300,2007/10/9,5675.927,0.004032
300,2007/10/10,5685.759,0.001732
300,2007/10/11,5760.078,0.013071
300,2007/10/12,5737.221,-0.003968
300,2007/10/15,5821.447,0.014681
300,2007/10/16,5877.202,0.009578
300,2007/10/17,5824.117,-0.009032
300,2007/10/18,5615.747,-0.035777
300,2007/10/19,5614.06,-0.0003
300,2007/10/22,5472.677,-0.025184
300,2007/10/23,5540.09,0.012318
300,2007/10/24,5588.014,0.00865
300,2007/10/25,5333.792,-0.045494
300,2007/10/26,5394.807,0.011439
300,2007/10/29,5508.357,0.021048
300,2007/10/30,5596.068,0.015923
300,2007/10/31,5688.543,0.016525
300,2007/11/1,5605.232,-0.014645
300,2007/11/2,5472.93,-0.023603
300,2007/11/5,5360.305,-0.020579
300,2007/11/6,5317.549,-0.007976
300,2007/11/7,5350.629,0.006221
300,2007/11/8,5093.669,-0.048024
300,2007/11/9,5040.525,-0.010433
300,2007/11/12,4978.252,-0.012354
300,2007/11/13,4939.244,-0.007836
300,2007/11/14,5145.888,0.041837
300,2007/11/15,5081.113,-0.012588
300,2007/11/16,5007.662,-0.014456
300,2007/11/19,4994.416,-0.002645
300,2007/11/20,5069.382,0.01501
300,2007/11/21,4997.62,-0.014156
300,2007/11/22,4772.617,-0.045022
300,2007/11/23,4856.161,0.017505
300,2007/11/26,4800.082,-0.011548
300,2007/11/27,4711.152,-0.018527
300,2007/11/28,4648.751,-0.013245
300,2007/11/29,4842.07,0.041585
300,2007/11/30,4737.408,-0.021615
300,2007/12/3,4772.674,0.007444
300,2007/12/4,4829.214,0.011847
300,2007/12/5,4965.947,0.028314
300,2007/12/6,4971.055,0.001029
300,2007/12/7,5041.35,0.014141
300,2007/12/10,5133.562,0.018291
300,2007/12/11,5140,0.001254
300,2007/12/12,5077.39,-0.012181
300,2007/12/13,4884.298,-0.03803
